people: 21

VarErr: 0.5

Names:[a b c d e f g h i j l m n o p q r s t u v ]


Mrel: [ (2,1)1 
       (4, 2)-1 
       (4, 3)-1 
       (5, 2)-1 
       (5, 3)-1 
       (6,3)-1 
       (6,4)-1 
       (7,3)-1 
       (8,4)-1 
       (8,7)1 
       (9,1)1 
       (9,6)1 
       (9,7)-1 
      (10,1)1 
      (10,6)1  
      (11,1)1 
      (11,9)-1 
      (12,4)-1 
      (12,5)1 
      (13, 3)-1 
      (13, 5)1 
      (13, 6)1 
      (14, 3)-1 
      (14, 5)1 
      (15,1)-1 
      (15,4)-1 
      (15,7)1 
      (15,8)1  
      (16,5)1 
      (16,8)-1 
      (16,12)-1 
      (16,13)1 
      (17,3)-1 
      (17,5)1 
      (17,6)1 
      (18,3)1 
      (18,4)-1 
      (18,6)-1 
      (18,13)1 
      (18,15)-1
      (19, 7)-1 
      (19, 8)1 
      (19,10)1 
      (19,13)1 
      (19,15)-1 
      (19,18)-1 
      (20,6)1 
      (20,9)-1 
      (20,11)1 
      (20,12)1 
      (20,17)-1 
      (20,18)-1 
      (21,6)-1 
      (21,7)1 
      (21,8)1 
      (21,9)-1 
      (21,10)-1 
      (21,15)1 ]

