people: 21

VarErr: 0.5

Names:[a b c d e f g h i j l m n o p q r s t u v ]


Mrel: [(2 , 1 )1 
       (4 , 1 )1 
       (4 , 3 )-1  
       (5 , 1 )1  
       (6 , 1 )1 
       (6 , 2 )1 
       (6 , 3 )-1 
       (7 , 4 )-1
       (8 , 3 )-1 
       (8 , 4 )-1 
       (8 , 7 )1 
       (9 , 3 )1  
      (10 , 1 )1 
      (10 , 6 )1  
      (11 , 1 )1 
      (11 , 6 )1 
      (11 ,10 )1  
      (12 , 4 )-1 
      (12 ,11 )1 
      (13 , 1 )1 
      (13 ,12 )-1 
      (14 , 3 )-1 
      (14 , 5 )1 
      (15 , 4 )-1 
      (15 , 6 )-1 
      (15 , 7 )1 
      (15 , 8 )1 
      (16 , 3 )-1 
      (16 , 5 )1 
      (16 ,12 )-1 
      (16 ,13 )1  
      (17 , 3 )-1 
      (17 ,10 )1 
      (17 ,13 )1 
      (17 ,15 )-1 
      (17 ,16 )1  
      (18 , 3 )1 
      (18 , 4 )-1 
      (18 ,14 )1 
      (18 ,15 )-1 
      (18 ,17 )-1
      (19 , 1 )1 
      (19 ,11 )1 
      (19 ,13 )1 
      (19 ,15 )-1 
      (19 ,18 )-1 
      (20 ,11 )1 
      (20 ,12 )1 
      (20 ,14 )1 
      (20 ,15 )-1 
      (20 ,17 )-1 
      (20 ,19 )-1 
      (21 , 4 )-1 
      (21 , 7 )1 
      (21 , 8 )1 
      (21 ,10 )-1 
      (21 ,15 )1 
      (21 ,17 )-1 ]

