people: 17


VarErr: 0.5

Names:[a b c d e f g h i j k l m n o p q ]

Mrel: [(3,  1)1 
       (3,  2)1 
       (4,  1)1 
       (5,  4)1 
       (6,  3)-1 
       (7,  4)-1
       (8,  2)1 
       (8,  5)1  
       (9,  6)-1 
       (9,  7)1  
      (10,  3)-1 
      (10,  6)1 
      (10,  9)1  
      (11,  2)1 
      (11,  3)-1 
      (11,  4)1 
      (11, 10)-1
      (12,  2)1 
      (12,  5)1 
      (12,  8)1 
      (12, 10)-1 
      (13,  7)1 
      (13,  8)1 
      (13,  9)1 
      (13, 10)-1 
      (14,  2)1 
      (14,  4)-1 
      (14,  6)-1 
      (14,  7)1 
      (14,  9)-1
      (15,  2)1 
      (15,  3)1 
      (15, 11)-1 
      (15, 13)1  
      (16,  2)1 
      (16,  3)-1 
      (16,  4)1 
      (16, 11)1  
      (17,  2)1 
      (17,  6)-1 
      (17,  7)1 
      (17,  9)-1 
      (17, 10)-1 
      (17, 14)1 ]

