people: 17

VarErr: 0.5

Names:[a b c d e f g h i j k l m n o p q ]

Mrel: [(3, 2)1 
       (4, 1)1  
       (5, 1)1 
       (5, 4)1  
       (6, 3)-1
       (7, 3)-1 
       (7, 4)-1 
       (7, 6)-1
       (8, 2)1 
       (8, 3)-1 
       (9, 6)-1 
       (9, 7)1  
      (10, 3)-1 
      (10, 7)1  
      (11, 3)-1 
      (11, 4)1 
      (11, 9)1 
      (11,10)-1
      (12, 2)1 
      (12, 5)1 
      (12, 8)1 
      (12,10)-1 
      (12,11)-1 
      (13, 2)1 
      (13, 5)1 
      (13, 8)1 
      (13,10)-1 
      (13,11)-1 
      (13,12)-1 
      (14, 2)1 
      (14, 3)-1 
      (14, 6)-1 
      (14, 7)1 
      (14, 9)-1
      (15, 2)1 
      (15, 3)1 
      (15, 7)-1 
      (15, 8)-1 
      (15,13)1  
      (16, 2)1 
      (16, 3)-1 
      (16, 4)1 
      (16,11)1 
      (16,14)-1 
      (16,15)-1 
      (17, 2)1 
      (17, 3)-1 
      (17, 6)-1 
      (17, 7)1 
      (17,14)1 
      (17,15)-1 ]

