people: 20

VarErr: 0.5

Names:[a b c d e f g h i j l m n o p q r s t  ]


Mrel: [(3, 2)1 
       (4, 1)-1
       (6, 3)-1 
       (6, 4)1 
       (7, 1)-1 
       (7, 3)1  
       (8, 6)-1 
       (9, 4)1 
       (9, 8)-1
      (10, 3)-1 
      (10, 4)1 
      (10, 6)1  
      (11, 3)1 
      (11, 6)-1 
      (11,10)-1
      (12, 2)1 
      (12, 3)1 
      (12, 5)1 
      (12, 6)-1 
      (12, 9)-1 
      (12,10)-1 
      (13, 4)1 
      (13, 5)-1 
      (13, 9)1 
      (13,11)-1 
      (13,12)-1
      (14, 8)1 
      (14, 9)-1 
      (14,12)-1 
      (14,13)-1
      (15, 5)1 
      (15, 6)-1 
      (15, 9)-1 
      (15,12)1 
      (15,13)-1 
      (15,14)1 
      (16, 2)1 
      (16, 4)-1 
      (16, 6)-1 
      (16, 7)1 
      (16,12)1 
      (16,15)-1 
      (17, 3)1 
      (17, 7)1 
      (17,10)-1 
      (17,12)1 
      (17,13)-1 
      (18, 6)1 
      (18, 8)1 
      (18, 9)1 
      (18,13)-1 
      (18,14)-1 
      (18,15)-1 
      (19, 4)1 
      (19, 6)1 
      (19, 8)-1 
      (19, 9)1 
      (19,15)-1 
      (20, 1)1 
      (20, 2)1 
      (20, 8)1 
      (20, 9)-1 
      (20,13)-1 
      (20,17)-1 ]
