people: 20

VarErr: 0.5

Names:[a b c d e f g h i j l m n o p q r s t  ]


Mrel: [(4, 1) -1
       (6, 4) 1 
       (7, 3) 1 
       (7, 6) -1 
       (8, 5) 1 
       (8, 6) -1
       (9, 3) -1 
       (9, 4) 1 
      (10, 1) -1 
      (10, 3) -1 
      (10, 4) 1 
      (10, 6) 1 
      (11, 3) 1 
      (11, 6) -1 
      (11,10) -1
      (12, 3) 1 
      (12, 5) 1 
      (12, 9) -1 
      (12,11) 1  
      (13, 5) -1 
      (13, 7) 1 
      (13, 9) 1 
      (13,11) -1
      (14, 1) -1 
      (14, 3) 1 
      (14, 7) 1 
      (14, 9) -1 
      (14,13) -1
      (15, 3) 1 
      (15, 5) 1 
      (15, 6) -1 
      (15, 9) -1 
      (15,13) -1 
      (15,14) 1 
      (16, 2) 1 
      (16, 4) -1 
      (16, 6) -1 
      (16, 7) 1 
      (16,12) 1 
      (16,13) -1 
      (17, 7) 1 
      (17, 8) -1 
      (17, 9) 1 
      (17,10) -1 
      (17,11) 1  
      (18, 3) -1 
      (18, 8) 1 
      (18, 9) -1 
      (18,11) -1 
      (18,14) 1 
      (18,15) 1 
      (19, 3) -1 
      (19, 4) 1 
      (19, 6) 1 
      (19, 9) 1 
      (19,12) -1 
      (19,14) -1 
      (20, 1) 1 
      (20, 9) -1 
      (20,10) -1 
      (20,11) -1 
      (20,13) 1 
      (20,15) 1 ] 

