people: 20

VarErr: 0.5

Names:[a b c d e f g h i j l m n o p q r s t ]


Mrel: [(3, 1)1 
       (4, 1)-1 
       (5, 4)-1
       (7, 3)1  
       (8, 5)1 
       (8, 6)-1 
       (9, 3)-1 
       (9, 4)1 
      (10, 3)-1 
      (10, 4)1 
      (10, 6)1  
      (11, 2)1 
      (11, 3)1 
      (11, 6)-1 
      (11,10)-1
      (12, 4)-1 
      (12, 5)1 
      (12, 9)-1 
      (12,11)1 
      (13, 4)1 
      (13, 9)1 
      (13,10)-1 
      (13,11)-1
      (14, 7)1 
      (14, 9)-1 
      (14,12)-1 
      (14,13)-1
      (15, 6)-1 
      (15, 7)1 
      (15, 8)1 
      (15, 9)-1 
      (15,13)-1
      (16, 2)1 
      (16, 6)-1 
      (16, 7)1 
      (16,12)1 
      (16,13)-1 
      (16,15)-1 
      (17, 7)1 
      (17, 8)-1 
      (17,10)-1 
      (17,11)1 
      (17,12)1 
      (17,13)-1 
      (18, 3)-1 
      (18, 5)1 
      (18, 8)1 
      (18,10)-1 
      (18,14)1  
      (19, 4)1 
      (19, 6)1 
      (19, 7)-1 
      (19, 9)1 
      (19,17)-1 
      (20, 2)1 
      (20, 3)1 
      (20,13)-1 
      (20,14)-1 
      (20,15)1 
      (20,17)-1 ]


